word,fre
we,886
our,602
war,310
their,309
they,295
us,212
british,189
would,175
great,174
can,174
now,157
no,156
only,155
air,147
may,139
must,134
them,134
many,133
one,132
french,130
his,130
time,120
men,118
very,115
world,113
every,110
should,108
france,108
german,107
shall,103
force,101
you,101
united,100
army,98
enemy,97
power,96
states,95
house,89
he,84
without,78
far,78
come,78
my,77
against,76
people,76
large,76
made,75
even,74
never,74
also,72
long,72
let,69
say,69
's,68
sea,68
last,68
cheers,67
europe,66
empire,66
military,65
fighting,64
over,63
make,63
years,62
whole,62
part,62
navy,60
new,59
months,59
battle,59
country,59
ourselves,58
forces,57
island,57
could,57
good,57
ships,56
might,55
strength,55
two,55
day,55
see,54
sure,54
armies,54
course,53
victory,52
germany,51
able,51
end,50
still,49
much,49
naval,49
both,48
give,48
government,48
general,47
struggle,46
like,46
first,46
well,45
ago,45
troops,44
days,44
moment,44
me,44
peace,43
britain,42
home,42
present,42
way,41
feel,41
necessary,41
few,41
therefore,40
year,40
countries,40
same,40
fight,40
down,39
future,39
hope,39
nazi,39
loss,39
germans,38
themselves,38
think,38
three,38
across,38
together,38
duty,38
take,38
almost,37
right,37
know,37
however,37
man,36
action,36
nothing,36
another,36
hitler,36
losses,36
invasion,36
admiralty,36
nation,35
nations,35
cause,35
go,35
have to,35
fleet,35
certainly,34
food,34
numbers,34
already,33
task,33
ever,33
life,33
quite,33
fact,33
peoples,32
scale,32
high,31
history,31
always,31
found,31
line,31
back,31
thought,30
put,30
full,30
number,30
her,29
american,29
use,29
common,29
why,29
yet,29
small,29
called,29
defense,29
command,28
today,28
whatever,28
work,28
place,28
kind,28
free,28
since,28
four,28
attack,28
divisions,28
russian,27
beginning,27
resources,27
freedom,27
organization,27
alone,27
possible,27
given,27
brought,27
land,26
perhaps,26
believe,26
away,26
indeed,26
week,26
state,25
mr.,25
question,25
lost,25
taken,25
times,24
become,24
vast,24
find,24
powerful,24
better,24
means,24
open,24
behind,24
greater,24
continue,23
president,23
serious,23
less,23
belgium,23
strong,22
him,22
forward,22
said,22
aid,22
larger,22
confidence,22
seas,22
royal,22
old,21
beyond,21
ready,21
soldiers,21
least,21
clear,21
often,21
though,21
kinds,21
ask,21
fought,21
further,21
month,21
armed,20
reason,20
whose,20
form,20
set,20
officers,20
aircraft,20
effort,20
bring,20
going,20
five,20
north,20
past,19
front,19
facts,19
field,19
period,19
seen,19
need,19
your,19
heavy,19
side,19
reached,19
oceans,19
although,19
considerable,19
human,19
stand,19
doubt,19
thus,19
hand,19
expect,19
fighter,19
million,19
expeditionary,18
best,18
god,18
sir,18
little,18
done,18
main,18
help,18
members,18
subject,18
conditions,18
hour,18
passed,18
engaged,18
dunkirk,18
interests,17
maintained,17
russia,17
allies,17
throughout,17
wounded,17
superiority,17
purpose,17
policy,17
tyranny,17
munitions,17
system,17
security,17
party,17
material,17
received,17
control,17
dangers,17
carry,17
dark,17
position,17
disaster,17
