word,probability,group,category
serbia,0.934845,leave,EC
albania,0.926223,leave,EC
ankara,0.920997,leave,EC
turkeys,0.920997,leave,EC
turkish,0.920997,leave,EC
montenegro,0.914973,leave,EC
deport,0.907955,leave,EC
asylum,0.899673,leave,EC
unskilled,0.899673,leave,EC
visafree,0.899673,leave,EC
turkey,0.898846,leave,EC
accession,0.885998,leave,EC
erdogan,0.862585,leave,EC
population,0.851118,leave,EC
poles,0.831426,leave,EC
macedonia,0.817642,leave,EC
illegal,0.817642,leave,EC
greece,0.793525,leave,EC
schools,0.945907,leave,EC
vacuum,0.766795,leave,EC
mum,0.907955,leave,EC
perks,0.903992,leave,EC
bananas,0.899673,leave,EC
retired,0.899673,leave,EC
kent,0.889755,leave,EC
bulbs,0.889755,leave,EC
billingsgate,0.889755,leave,EC
earn,0.889755,leave,EC
son,0.884022,leave,EC
wolverhampton,0.87766,leave,EC
essex,0.87766,leave,EC
champagne,0.87766,leave,EC
dinner,0.87766,leave,EC
romford,0.862585,leave,EC
fish,0.843272,leave,EC
gp,0.817642,leave,EC
jobless,0.817642,leave,EC
taxpayers,0.817642,leave,EC
tens,0.907955,leave,EC
billion,0.87056,leave,EC
vat,0.862585,leave,EC
tariffs,0.79215,leave,EC
unelected,0.911603,leave,PC
lying,0.903992,leave,PC
colluding,0.889755,leave,PC
unreformed,0.889755,leave,PC
undemocratic,0.881976,leave,PC
disgusting,0.87766,leave,PC
shackles,0.87766,leave,PC
slammed,0.87766,leave,PC
credibility,0.862585,leave,PC
dishonesty,0.862585,leave,PC
freed,0.862585,leave,PC
freely,0.801404,leave,PC
restrictions,0.862585,leave,PC
lied,0.862585,leave,PC
overrule,0.862585,leave,PC
powerless,0.862585,leave,PC
questioned,0.862585,leave,PC
ridiculous,0.862585,leave,PC
calling,0.843272,leave,PC
unaccountable,0.843272,leave,PC
controversial,0.831426,leave,PC
entire,0.817642,leave,PC
failing,0.807129,leave,PC
blasted,0.801404,leave,PC
scare,0.801404,leave,PC
severe,0.801404,leave,PC
furious,0.795329,leave,PC
commonwealth,0.945907,leave,PC
meps,0.938441,leave,PC
juncker,0.926223,leave,PC
eurocrats,0.920997,leave,PC
whitehall,0.914973,leave,PC
jeanclaude,0.899673,leave,PC
mep,0.889755,leave,PC
pm ,0.889755,leave,PC
tory,0.8867,leave,PC
commissioner,0.87766,leave,PC
pms,0.87766,leave,PC
councillor,0.862585,leave,PC
merkel,0.856699,leave,PC
chancellors,0.853562,leave,PC
osborne,0.837564,leave,PC
downing,0.835568,leave,PC
angela,0.827069,leave,PC
promise,0.817642,leave,PC
commons,0.807129,leave,PC
officials,0.807129,leave,PC
commission,0.805729,leave,PC
chancellor,0.804879,leave,PC
osbornes,0.795329,leave,PC
theresa,0.795329,leave,PC
brussels,0.793114,leave,PC
collaboration,0.949893,remain,PA
collective,0.878765,remain,PA
community,0.82206,remain,PA
connected,0.899205,remain,PA
constitutional,0.90939,remain,PA
convention,0.816869,remain,PA
created,0.856062,remain,PA
creative,0.847925,remain,PA
division,0.878765,remain,PA
futures,0.856062,remain,PA
generation,0.822897,remain,PA
global,0.825265,remain,PA
globalisation,0.856062,remain,PA
internationalist,0.917705,remain,PA
internationally,0.886441,remain,PA
isolationism,0.917705,remain,PA
mindset,0.90939,remain,PA
narrative,0.816869,remain,PA
nationalism,0.95493,remain,PA
nationalist,0.816869,remain,PA
opening,0.847925,remain,PA
outlook,0.816869,remain,PA
perspective,0.924623,remain,PA
race,0.886441,remain,PA
racial,0.833836,remain,PA
racism,0.899205,remain,PA
responsibility,0.869976,remain,PA
role,0.847925,remain,PA
shared,0.935471,remain,PA
shares,0.847925,remain,PA
sharing,0.838814,remain,PA
spirit,0.833836,remain,PA
unity,0.803492,remain,PA
value,0.928623,remain,PA
worldview,0.899205,remain,PA
agriculture,0.90939,remain,EA
art,0.833836,remain,EA
artists,0.924623,remain,EA
arts,0.856062,remain,EA
chemicals,0.886441,remain,EA
climate,0.87597,remain,EA
cultural,0.828541,remain,EA
environmental,0.924623,remain,EA
science,0.841193,remain,EA
