date,what-is-eu,what-is-brexit,what-is-article-50,what-is-single-market,is-sweden-in-the-eu,is-russia-in-the-eu
2016-06-01,5,1,0,0,0,0
2016-06-02,5,2,0,0.5,4,6
2016-06-03,5,2,0,1,0,0
2016-06-04,6,1,0,0,5,7
2016-06-05,5,4,0,0.5,0,0
2016-06-06,5,2,0,1,12,19
2016-06-07,11,4,0,0.5,4,12
2016-06-08,5,2,0,0,0,6
2016-06-09,9,4,0,1,0,6
2016-06-10,6,2,0,1,4,13
2016-06-11,6,2,0,0,0,41
2016-06-12,5,3,0,0.5,8,19
2016-06-13,4,3,0.5,0.5,4,6
2016-06-14,7,2,0,0.5,0,47
2016-06-15,5,7,0,0.5,16,12
2016-06-16,6,2,0,0.5,8,18
2016-06-17,5,2,0,0.5,4,32
2016-06-18,5,3,0,0.5,0,36
2016-06-19,7,3,0,0,14,7
2016-06-20,9,5,0,0.5,4,17
2016-06-21,19,6,0,0.5,16,36
2016-06-22,22,8,0,1,16,43
2016-06-23,42,13,0.5,0.5,8,43
2016-06-24,100,57,32,1,100,100
2016-06-25,33,25,11,2,59,41
2016-06-26,24,13,14,4,13,7
2016-06-27,16,12,11,4,12,18
2016-06-28,11,10,6,7,0,6
2016-06-29,11,8,3,6,12,12
2016-06-30,5,4,2,6,16,0
