hashtag,trend,201512,201601,201602,201603,201604,201605,20160601,20160623,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,re201512,re201601,re201602,re201603,re201604,re201605,re20160601,re20160623,re201607,re201608,re201609,re201610,re201611,re201612,re201701,re201702,re201703,re201704,re201705,re201706,re201707,re201708,re201709,re201710,re201711,re201712,re201801,re201802,re201803,re201804,re201805,re201806,re201807,re201808,re201809,re201810,re201811,re201812
#leaveeu,0.874459718,0,51,114,108,109,239,206,10,37,31,14,7,24,9,5,11,10,5,5,3,1,0,2,0,1,2,5,6,21,7,3,4,4,0,1,1,5,5,0,1925,6991,8605,5703,16284,11747,177,1333,688,427,279,1874,279,555,755,957,192,1269,235,59,0,180,0,129,882,2052,397,1954,1284,335,813,485,0,100,22,457,265
 #voteleave,0.815668855,0,28,82,111,181,499,1010,61,59,25,11,4,9,0,1,3,1,3,0,1,2,1,1,0,1,1,0,0,6,1,0,3,26,4,13,1,4,0,0,1134,3607,7658,8160,30001,65297,2658,2709,625,237,224,439,0,73,424,248,202,0,12,150,11,211,0,27,31,0,0,566,253,0,204,2597,573,2614,23,918,0
 #stoptheeu,0.873257406,0,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,553,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#leave,0.818913865,0,6,8,4,19,47,123,128,87,35,15,18,24,14,14,8,15,6,8,7,7,11,21,13,20,23,13,17,30,13,34,32,42,19,24,25,31,30,0,492,375,893,697,1641,4547,4351,4712,1764,448,1024,1891,827,1305,269,599,1172,573,1447,382,2276,1397,1541,4220,3703,2128,1552,6638,583,3328,3808,9246,3115,4679,4523,7346,5430
 #betteroffout,0.974942541,0,3,9,13,7,29,16,1,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,73,427,1279,691,1681,2532,9,392,30,0,0,0,0,37,0,0,0,0,0,0,19,0,0,0,0,78,0,0,0,0,264,0,0,0,0,0,0
#nodealbrexit,0.544326206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,18,30,14,7,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,64,0,0,0,0,0,2128,2338,1160,865,1141,2267
 #voteout,0.311948862,0,0,0,0,1,15,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1098,5222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 #standup4brexit,0.989865822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,59,68,59,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9213,4349,6116,11678,5399
 #no2eu,0.833295346,0,1,2,9,8,10,10,2,2,1,9,11,22,10,6,10,15,18,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,256,318,556,664,3208,52,31,391,720,3479,1810,886,2258,1766,2381,2154,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 #takecontrol,0.860080514,0,0,0,1,8,34,44,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,342,1627,2330,140,51,0,0,59,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0
 #dc,0.975194458,0,0,1,0,2,27,54,1,0,1,0,0,2,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,726,8627,16069,13,0,118,0,0,300,0,0,0,170,0,0,0,391,192,65,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
 #merkel,0.956814839,0,2,7,3,16,13,15,30,10,11,3,3,12,9,1,4,3,4,7,4,1,4,1,2,2,2,0,1,0,0,0,0,2,1,1,5,5,12,0,81,160,40,3609,2571,1411,1963,618,520,116,51,888,739,23,352,62,71,208,102,31,156,5,1109,131,131,0,55,0,0,0,0,50,37,23,3893,168,1863
