hashtag,trend,201512,201601,201602,201603,201604,201605,20160601,20160623,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,re201512,re201601,re201602,re201603,re201604,re201605,re20160601,re20160623,re201607,re201608,re201609,re201610,re201611,re201612,re201701,re201702,re201703,re201704,re201705,re201706,re201707,re201708,re201709,re201710,re201711,re201712,re201801,re201802,re201803,re201804,re201805,re201806,re201807,re201808,re201809,re201810,re201811,re201812
#abtv,0.034982759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,132,255,760,177,4,31,13,11,8,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18003,16043,31746,71673,12905,412,2839,405,775,1392,267,3739
#article50,0.701589225,0,0,0,0,0,0,0,24,46,34,26,33,186,65,186,109,454,34,10,4,6,5,8,8,26,8,13,9,18,3,3,12,9,7,14,15,40,76,0,0,0,0,0,0,0,764,1064,704,761,957,26173,6735,14596,13182,47322,3145,2028,260,907,519,512,3339,3637,483,2836,1037,1336,1189,102,835,1058,322,1466,921,19038,13522
#betteroffout,0.973269097,0,6,12,43,24,79,31,13,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,3,0,0,0,316,807,2128,1800,4234,4246,634,215,24,0,0,26,0,37,0,0,0,0,0,0,19,0,0,0,0,0,0,76,0,0,429,0,0,0,222,0,0
#bremain,0.426579066,0,1,5,4,4,23,66,34,7,2,3,0,2,0,1,0,0,1,0,0,0,0,3,0,13,7,0,0,0,0,3,0,0,0,0,0,0,0,0,31,134,85,144,1199,2173,721,152,13,54,0,183,0,11,0,0,20,0,0,0,0,366,0,902,1616,0,0,0,0,57,0,0,0,0,0,0,0
#brexitbill,0.485217992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,68,36,0,0,0,0,4,5,0,12,9,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,5711,4418,0,0,0,0,736,144,0,910,1128,0,0,0,0,0,2580,0,0,0,0,1283,0
#brexitshambles,0.297722662,0,0,0,0,0,0,0,0,0,0,1,11,42,34,82,43,32,19,35,24,40,75,73,52,134,151,183,155,156,114,148,106,165,117,95,104,140,217,0,0,0,0,0,0,0,0,0,0,29,265,2574,3065,4584,3088,5599,1296,1947,15631,3471,9619,8800,5927,23812,33185,30458,19322,27470,12482,13377,12337,23835,18582,8854,11499,20681,21461
#chequers,0.869798844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,43,57,79,27,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,3477,6325,7823,1844,2639,2167
#corbyn,0.121623174,0,1,0,6,5,12,19,36,9,12,9,8,13,8,26,11,7,10,18,15,31,15,12,6,16,25,19,14,37,11,40,24,21,20,43,33,31,65,0,14,0,60,173,462,725,2514,406,218,250,214,1173,678,839,459,407,428,925,715,2484,1497,488,111,4775,2494,3080,2172,5322,1653,1858,4215,1494,4701,3197,2737,5561,13094
#daxit,0.880360008,0,0,0,0,7,0,0,27,61,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,1554,2544,72,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#election2016,0.635814567,0,0,3,0,0,1,4,7,2,1,0,5,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,77,158,204,450,19,0,561,7287,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#euwithdrawalbill,0.722706833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,4,62,69,25,12,1,39,32,173,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,8336,206,14259,12199,5875,2213,66,5401,3133,31698,0,72,19,14,0,90
#fbpe,0.164871165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,1060,1641,1245,1032,719,741,599,465,466,374,423,306,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21673,122702,219168,160359,143340,95135,86938,95869,68293,81043,46811,67454,48692,43241
#finalsay,0.140167079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,98,207,289,221,325,376,206,75,189,271,317,285,347,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,15,0,0,0,0,0,0,804,6018,19742,22599,22130,51148,42313,16901,5631,17372,31096,41535,37896,44386,57000
#florencespeech,0.756603477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#frexit,0.971650678,0,0,0,10,30,33,38,62,60,29,25,19,43,31,46,43,36,35,3,1,2,2,0,0,2,0,3,2,0,1,0,0,0,0,0,0,0,26,0,0,0,391,1232,611,1408,3098,2554,1305,1078,972,3600,2426,2936,2454,2591,3145,41,55,130,264,0,0,60,0,386,246,0,21,0,0,0,0,0,0,0,3252
