hashtag,trend,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,re201601,re201602,re201603,re201604,re201605,re201606,re201607,re201608,re201609,re201610,re201611,re201612,re201701,re201702,re201703,re201704,re201705,re201706,re201707,re201708,re201709,re201710,re201711,re201712,re201801,re201802,re201803,re201804,re201805,re201806,re201807,re201808,re201809,re201810,re201811,re201812,re201901,re201902,re201903,re201904,re201905
#abtv,0.007179008,20,33,33,34,26,18,22,25,35,37,28,9,33,37,31,26,10,10,8,7,5,9,7,5,39,136,77,163,93,53,45,35,48,54,47,55,32,56,50,49,106,15,8,62,35,22,23,22,20,55,27,25,15,35,27,20,9,1,6,0,8,6,9,78,0,4473,2569,5845,16755,6709,638,610,277,506,272,185,320,489,672,1029,1543,800
#brexitbetrayal,0.794551017,0,0,0,0,0,6,5,1,0,2,16,4,5,7,4,8,5,9,24,26,43,25,20,50,29,39,47,29,29,24,133,72,44,56,140,126,70,57,197,210,195,0,0,0,0,0,1,7,0,0,0,11,11,0,3,0,11,7,0,115,38,171,59,159,271,34,221,399,38,60,52,10298,2753,410,2721,10498,10205,5193,4132,36755,38166,14625
#brexitchaos,0.476883961,0,1,1,0,3,39,28,5,3,31,40,14,33,13,27,23,30,36,45,32,36,46,40,47,40,38,42,36,30,56,149,78,83,61,598,263,217,154,274,98,60,0,0,0,0,4,78,15,2,0,94,39,3,92,13,38,62,67,103,93,112,68,370,301,988,97,286,1171,198,269,683,14492,2840,2957,3742,161695,26907,17302,12342,27004,9471,4438
#brexitmayhem,0.595453046,0,0,0,0,0,0,3,0,0,9,4,3,11,1,12,3,3,7,6,4,7,14,3,1,2,3,4,0,3,9,4,2,3,3,6,15,13,5,218,81,43,0,0,0,0,0,0,0,0,0,3,41,1,36,4,10,17,0,17,11,1,6,3,1,5,3,7,4,0,12,67,2,4,2,2,11,10,87,0,20158,2227,101
#brexitshambles,0.303225869,0,0,0,1,0,40,6,5,28,73,161,126,164,102,180,140,121,172,158,149,195,162,194,300,164,215,203,118,145,238,514,209,250,261,486,492,473,273,769,296,218,0,0,0,0,0,64,10,3,54,1033,6507,2650,7278,7270,7739,4829,4288,20177,9288,9973,9511,7419,16108,35760,18009,16204,20477,10649,9942,32638,64846,17782,15180,20216,45132,53929,33313,16476,93695,29498,14671
#brexitvote,0.640379697,12,16,14,10,22,762,80,41,37,45,40,39,40,41,39,20,25,31,10,8,15,18,38,54,21,13,37,24,11,54,37,19,31,25,40,273,672,57,391,74,110,4,14,14,3,45,155135,1292,116,46,74,539,160,32,165,301,5,0,25,17,0,2,13,77,178,5,13,56,47,3,88,58,573,33,7,73,45244,148049,1175,73349,920,265
#chequers,0.904916595,9,11,11,16,16,14,25,17,31,8,10,15,8,14,7,16,12,11,11,22,11,6,8,14,7,49,7,11,14,26,139,49,80,57,48,41,42,34,56,36,41,0,3,6,14,2,14,14,4,34,1,4,8,4,4,1,2,18,6,3,36,11,2,2,8,0,1147,2,40,61,40,23718,2857,9493,5782,2742,1439,251,96,1051,78,168
#fbpe,0.01570201,0,1,0,1,0,0,2,3,2,1,4,1,0,4,0,3,0,0,1,0,0,44,186,434,675,515,382,259,273,371,403,271,241,255,290,299,371,247,296,220,358,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2760,10717,46004,99948,79158,65229,36724,34389,51915,55921,40070,22028,23029,32887,20940,39368,25669,39682,23959,14964
#finalsay,0.055053525,18,8,13,9,16,29,16,7,27,7,16,10,12,16,7,3,3,3,2,4,9,53,69,77,89,84,118,108,80,94,81,99,115,123,99,105,81,97,166,123,133,15,8,32,3,2,8,9,5,19,5,133,90,14,120,17,0,0,0,4,9,8,771,1321,4983,5857,8667,19821,11586,5153,2518,3510,9722,17359,22797,13663,28539,14847,11318,48362,28725,19815
#frexit,0.938393496,9,39,38,35,36,77,38,50,57,32,52,49,39,49,52,85,47,28,31,33,34,26,26,32,43,33,39,23,34,31,27,36,27,38,34,41,39,33,50,53,126,9,76,552,211,226,3129,1038,306,920,142,2066,1168,1743,1619,3095,7389,1756,72,35,200,49,44,30,69,420,217,49,429,442,68,1424,49,54,73,202,3004,507,1835,2095,878,2254
#ge17,0.442360165,1,24,22,7,7,5,16,9,23,14,29,57,41,42,43,500,694,741,62,43,54,42,100,42,40,38,38,40,39,36,24,39,46,36,34,37,36,45,56,40,50,0,12,39,0,3,5,6,5,12,4,46,226,163,299,85,81623,81561,73589,1090,936,484,584,3668,490,244,269,345,230,377,440,95,135,455,106,173,156,486,325,269,495,283
