en,ch
abtv,留欧口号。呼吁“投票给留欧政党Anti-Brexit Tactical Voting”
article50,《里斯本条约》第50条，启动它就是启动了脱欧
betteroffout,“离开会更好”，脱欧口号。
bremain,“英国留下”，留欧口号。Britain+remain
brexitbill,脱欧法案
brexitshambles,“脱欧一团乱”，专门列举和吐槽脱欧中出现的混乱情况
chequers,特蕾莎梅在18年7月艰难统一内阁意见所提出的脱欧计划，但在国内遭到很大反对，也未能在欧盟得以通过。最著名的关于契克斯计划的言论是梅曾说过“要不就是契克斯，要不就硬脱欧”。
corbyn,科尔宾，反对党工党的领袖
daxit,丹麦脱欧
election2016,美国2016大选
euwithdrawalbill,脱欧法案
fbpe,“支持欧盟就转发”。留欧标签。Follow Back Pro-European Union
finalsay,留欧口号。民众要求对怎么脱欧有最终的决定权，呼吁二次公投
fintech,金融科技
florencespeech,特蕾莎梅2017年9月22日在佛罗伦萨的演讲，表示在英国正式“脱离”欧盟之后仍有两年过渡期，目前一些贸易条款在过渡期内依旧适用。
frexit,法国脱欧
ge17,英国2017大选
indyref2,independence referendum 2 苏格兰二次独立公投，第一次独立公投在
ireland,爱尔兰
labour,工党
labourin,工党中支持留欧的阵营
leave,“离开“。脱欧
leaveeu,”离开欧盟“，公投选战中脱欧的非官宣阵营，主要发起者为声名狼藉的英国独立党。
leavewatch,“脱欧监督”。监督脱欧派政客兑现他们在公投期间做出的承诺
maga,“让美国再次伟大”make america great again 2016年美国大选，川普的竞选口号
maymustgo,“梅必须走”。要求特丽莎梅下台
merkel,默克尔。德国总理
nexit,荷兰脱欧
nhs,英国国家医疗服务体系，脱欧后将被极大影响
nigelfarage,法拉奇，脱欧运动领导者。臭名昭著的反移民的英国独立党前党魁
no2eu,“对欧盟说不”。脱欧口号
nobrexit,“不要脱欧”。公投后出现的留欧阵营
nodealbrexit,“无协议脱欧“。硬核脱欧派，无协议也要脱欧，并且认为无协议脱欧是好事
nowaymay,”没门，特雷莎梅“。反特蕾莎梅的口号
obama,奥巴马，美国前总统
peoplesvote,”人民的投票“。要求对最终脱欧协议进行二次公投
peoplesvotemarch,“人民的投票“的子口号，特指为之所组织的游行
projectfear,“恐吓计划”。脱欧派指责留欧派为了阻止脱欧，声称“脱欧会给英国经济社会带来全方面风险”的这种说法只是危言耸听和恐吓。
racism,种族主义，对不同种族的歧视
regrexit,“后悔脱欧”。当时投了脱欧，后来后悔了的现象。主要出现在公投结果宣布的几天内。
remain,“留下”。留欧口号
remainernow,“现在是留欧者”。曾经投票脱欧，现在支持留欧。主要出现在2017年下半年
scotland,苏格兰
standup4brexit,“坚持脱欧”，2018年8月出现。随着脱欧谈判的僵持，英国国内对脱欧可行性的质疑越来越高，在这一背景下，硬核脱欧派再次发起呼吁，坚持脱欧。
stopbrexit,2017年出现的留欧派阵营
stoptheeu,“阻止欧盟”。脱欧口号，认为欧盟对英国政治经济社会有负面影响
strongerin,“留下更强大”。公投中留欧派官宣口号
supremecourt,“最高法院”。2016年年底，最高法院对脱欧最终决定权在议会还是在政府进行审理，并于2017年1月裁决——最终批准权在议会而非政府手中。府院之争中，政府落败。这也成为在脱欧最后阶段，议会对政府产生巨大牵制的前因。
takecontrol,“拿回控制权”。公投中脱欧派官方口号之一
theresamay,特蕾莎梅，英国首相
tories,保守党，现执政党，首相特雷莎梅所在政党
trump,特朗普。
ttip,“跨大西洋贸易与投资伙伴关系协定”。欧盟与美国政府正在谈判中的自由贸易条约，若签订完成将涵盖目前世界1/2的GDP，覆盖世界上较富有的8亿人口。但美国在特朗普上台后一度暂定谈判，该谈判在欧洲也引发了较大争议，改协议也被脱欧派用作离开欧盟的理由之一。
voteleave,“投票离开”。公投中脱欧的官方阵营名
voteout,“投票出去”。脱欧口号
voteremain,“投票留下”。留欧口号
waton,“我们现在是反对派”“We Are The Opposition Now” ，公投后的留欧口号。
windrush,“疾风号”。2018年英国的一起政治丑闻。二战后为弥补劳动力不足英国用“帝国疾风号”轮船从非洲和加勒比海国家运输到英国大量移民劳工。他们陆续在英国安家落户，生育下一代，这批规模约50万人移民被称为“疾风一代”。由于这些加勒比海移民当年获发的只是无限期居留许可，在近年英国收紧移民政策的背景下，“疾风世代”因不能提供合法公民身份证明，被当局视为非法移民，他们生活、就业都遇到困难，甚至遭到遣返。这一事件给在移民事务上持强硬立场的保守党招来骂名。特雷莎·梅和拉德多次向“疾风一代”移民道歉。但英国媒体随后披露，内政部表面道歉，实则暗中设立“强制遣返移民目标数字”，以控制每年的净移民人数。该丑闻直接导致时任内政大臣安伯·拉德辞职。反应出公投后时代，英国社会对移民问题的态度。一方面反移民情绪抬头，而另一方面社会对于移民权益的保护也更为敏感。
yeseu,“对欧盟说是”。公投后出现的留欧口号
