Word,Weight
we,-0.8451464
our,-0.5688216
you,-0.2891176
queen,-0.2281368
we can,-0.2090712
get,-0.1887912
now,-0.1778776
people,-0.1713672
my,-0.1683672
dont,-0.1593336
stop,-0.1591936
cant,-0.1477192
yesterday,-0.1431456
women,-0.1422192
im,-0.1419824
says,-0.1398144
me,-0.1363896
told,-0.1333976
brexit would,0.1848728
risks,0.184932
financial,0.1895752
britain would,0.1926944
lead,0.1946656
brexit,0.2003872
northern ireland,0.2011208
northern,0.2011208
single market,0.202868
uks,0.2047192
relationship,0.2112864
europe,0.2646496
campaign,0.2850144
britain,0.2995928
ireland,0.3052008
uk,0.313968
economic,0.3239872
britains,0.3283888
would,0.4987504
