id,word,fre,trans
2,he,6.980775875,他
3,eu,6.225013573,欧盟
4,we,5.534030897,我们
5,i,4.969522728,我
8,his,4.013252061,他的
9,leave,3.784980998,离开
10,britain,3.72637086,英国
12,vote,3.649252258,投票
13,they,3.383964266,他们
14,mr,3.275998223,先生
15,who,3.198879621,谁
16,people,3.192710133,人民
17,brexit,3.118676275,脱欧
18,referendum,3.03230344,公投
19,her,2.94901535,她
20,their,2.945930606,他们的
21,our,2.918167909,我们的
25,remain,2.773184937,留欧
26,cameron,2.452371551,卡梅伦
27,campaign,2.291964859,选战
29,european,2.11921919,欧洲人
30,uk,2.001998914,英国
31,today,1.971151473,今天
32,all,1.955727753,全部
33,more,1.934134544,更
35,minister,1.84776171,部长
40,also,1.758304131,也
41,cox,1.745965155,考克斯
42,you,1.739795667,你
43,country,1.733626178,国家
44,europe,1.634914368,欧洲
45,last,1.625660135,最后
46,labour,1.610236415,工党
48,london,1.536202557,伦敦
49,mp,1.520778836,议员
50,british,1.486846651,英国的
51,voters,1.449829722,选民
52,think,1.409728049,认为
53,when,1.406643305,何时
58,its,1.344948423,它的
59,leader,1.311016238,领导
60,johnson,1.307931494,约翰逊
61,jo,1.292507774,乔
62,right,1.249321356,正确
63,now,1.246236612,现在
64,just,1.230812892,只是
65,year,1.206134939,年份
66,david,1.196880707,戴维
67,union,1.193795963,联盟
68,party,1.193795963,党派
69,us,1.15369429,我们
70,immigration,1.125931593,移民
71,time,1.11667736,时间
72,result,1.076575687,结果
73,make,1.061151967,使
74,should,1.054982479,应该
77,told,1.008711317,告诉
78,very,0.999457085,非常
79,many,0.987118109,许多
80,some,0.971694388,有些
82,tory,0.962440156,保守党
83,other,0.95010118,其他
84,first,0.947016436,第一个
85,mrs,0.940846947,夫人
86,my,0.913084251,我的
87,government,0.906914762,政府
88,world,0.900745274,世界
89,new,0.888406298,新的
90,day,0.876067321,天
92,only,0.869897833,只有
93,added,0.866813089,增加
94,left,0.848304625,左
96,him,0.842135136,他
97,decision,0.835965648,决定
98,get,0.835965648,得到
99,where,0.835965648,哪里
100,former,0.832880904,前任
103,take,0.823626672,采取
104,thursday,0.823626672,星期四
105,them,0.823626672,他们
106,how,0.808202951,如何
107,stay,0.802033463,保持
109,political,0.798948719,政治的
110,morning,0.792779231,早晨
111,corbyn,0.786609743,科尔宾
112,put,0.777355511,放
114,final,0.774270766,最终
115,want,0.755762302,想要
116,night,0.740338582,夜晚
117,man,0.724914861,人
118,farage,0.715660629,法拉奇
119,yesterday,0.709491141,昨天
120,moment,0.703321652,时刻
121,most,0.700236908,多数
122,week,0.700236908,周
123,economy,0.675558956,经济
124,even,0.666304723,甚至
125,public,0.663219979,大众
126,bbc,0.663219979,英国广播公司
127,debate,0.657050491,辩论
128,any,0.653965747,任何
129,polls,0.653965747,民调
131,support,0.644711515,支持
132,work,0.641626771,工作
133,economic,0.635457282,经济
135,control,0.629287794,控制
136,much,0.620033562,很多
137,england,0.616948818,英格兰
138,go,0.616948818,去
139,saying,0.607694586,格言
140,own,0.604609842,拥有
141,future,0.601525097,未来
142,part,0.598440353,部分
143,trump,0.598440353,特朗普
144,scotland,0.598440353,苏格兰
145,market,0.595355609,市场
147,brussels,0.592270865,布鲁塞尔
148,united,0.592270865,联合
149,gove,0.583016633,戈夫
150,markets,0.583016633,市场
151,next,0.576847145,下一个
153,secretary,0.576847145,秘书
154,three,0.564508168,三个
155,see,0.55833868,看见
156,young,0.55833868,年轻
157,trade,0.555253936,贸易
159,hit,0.549084448,打击
160,long,0.549084448,长
161,believe,0.545999704,相信
162,warned,0.536745472,警告
163,bank,0.533660728,银行
164,children,0.533660728,儿童
165,poster,0.533660728,海报
166,news,0.530575983,新闻
167,come,0.530575983,来
168,need,0.530575983,需要
169,family,0.521321751,家庭
170,member,0.521321751,成员
171,here,0.521321751,这里
172,parliament,0.521321751,国会
173,festival,0.521321751,节日
176,great,0.515152263,伟大
177,far,0.515152263,远的
178,such,0.505898031,这样的
179,clear,0.502813287,清晰
180,another,0.502813287,另一个
181,home,0.499728543,家
182,osborne,0.499728543,奥斯本
183,change,0.496643798,改变
184,point,0.493559054,点
185,too,0.493559054,也
187,despite,0.484304822,尽管
188,house,0.478135334,房屋
189,president,0.47505059,总统
191,close,0.471965846,关闭
193,well,0.471965846,好
194,election,0.465796358,选举
195,both,0.465796358,都
196,chief,0.462711613,首领
197,death,0.462711613,死亡
198,hours,0.459626869,小时
199,pound,0.456542125,英镑
200,friday,0.456542125,星期五
201,financial,0.450372637,财政
202,good,0.450372637,好
204,must,0.447287893,必须
205,free,0.444203149,自由
207,life,0.441118405,生命
208,win,0.441118405,赢
209,me,0.438033661,我
210,countries,0.434948917,国家
211,your,0.434948917,你的
212,leadership,0.434948917,领导力
213,why,0.431864173,为什么
214,street,0.431864173,街道
215,know,0.431864173,知道
216,together,0.428779428,一起
217,tweeted,0.428779428,发推特
218,shows,0.42260994,演出
220,better,0.416440452,更好的
221,twitter,0.413355708,推特
222,membership,0.413355708,成员资格
223,days,0.410270964,天
224,place,0.410270964,地点
226,months,0.40718622,月份
227,again,0.40718622,再来一次
228,chancellor,0.404101476,议长
229,old,0.404101476,旧
230,amid,0.397931988,中间
231,west,0.394847243,西
