id,word,fre,trans
1,he,5.761242550117393,他
2,we,5.002709048475395,我们
4,eu,4.695683583167781,欧盟
6,his,4.135813617482391,他的
7,i,4.099692975936456,我
8,leave,3.9190897597977243,离开
9,who,3.648184937691891,谁
10,her,3.431461080007224,她
13,been,3.323099151164891,曾经
14,they,3.0702546505327795,他们
16,referendum,2.9438324002167238,公投
17,our,2.817410149900668,我们的
18,remain,2.799349828426946,留欧
19,vote,2.7451688640057794,投票
21,people,2.582625970742279,人民
23,their,2.4381433989525014,他们的
24,mr,2.383962434531335,先生
25,you,2.383962434531335,你
26,brexit,2.3117211486364457,脱欧
28,all,2.0046956835831677,全部
29,per,1.950514719162001,每
30,britain,1.9143940762145566,英国
32,cent,1.8421527903196677,分
33,more,1.8240924688459454,更
34,campaign,1.7699115044247788,活动
36,mp,1.6976702185298898,议员
37,party,1.6615495755824454,党派
38,what,1.6615495755824454,什么
39,now,1.5893082896875566,现在
40,its,1.5893082896875566,它的
41,also,1.5712479682138343,也
43,country,1.4990066823189452,国家
44,european,1.480946360845223,欧洲人
45,result,1.480946360845223,结果
46,jo,1.4628860393715009,乔
47,could,1.4267653964240563,能够
48,us,1.408705074950334,我们
49,cameron,1.408705074950334,卡梅伦
51,minister,1.3725844320028897,部长
52,year,1.3725844320028897,年
53,time,1.3364637890554452,时间
54,british,1.3364637890554452,英国人
55,cox,1.318403467581723,考克斯
56,when,1.3003431461080008,何时
57,how,1.246162181686834,如何
58,just,1.2281018602131117,只是
59,leader,1.2100415387393895,领导
60,two,1.2100415387393895,两个
61,some,1.1739208957919451,有些
62,last,1.1739208957919451,最后
63,years,1.1558605743182229,年份
64,many,1.1378002528445006,许多
65,europe,1.1197399313707785,欧洲
66,should,1.1016796098970563,应该
67,june,1.083619288423334,六月
68,public,1.0655589669496117,大众
71,other,1.0294383240021672,其他
72,think,1.011378002528445,认为
73,very,0.9933176810547226,非常
74,prime,0.9933176810547226,首要的
75,day,0.9752573595810005,天
76,new,0.9752573595810005,新的
77,most,0.9571970381072783,多数
78,my,0.9571970381072783,我的
79,david,0.9571970381072783,戴维
80,only,0.9391367166335561,只有
82,first,0.9210763951598339,第一
83,political,0.9030160736861117,政治的
84,former,0.8668954307386671,前任
85,such,0.8488351092649449,这样的
86,any,0.8488351092649449,任何
87,going,0.8307747877912227,走向
88,farage,0.8307747877912227,法拉奇
89,immigration,0.8127144663175004,移民
90,tory,0.8127144663175004,保守党员
91,told,0.8127144663175004,告诉
92,right,0.8127144663175004,正确
93,union,0.7946541448437783,联盟
94,like,0.7946541448437783,像
95,where,0.7946541448437783,哪里
96,london,0.7946541448437783,伦敦
97,need,0.776593823370056,需要
99,way,0.7585335018963337,途径
100,made,0.7585335018963337,使
102,three,0.7585335018963337,三个
103,voters,0.7404731804226115,选民
104,election,0.7404731804226115,选举
105,conservative,0.7404731804226115,保守党
106,pro,0.7404731804226115,专家
108,membership,0.7224128589488893,成员资格
109,given,0.7224128589488893,鉴于
110,family,0.7224128589488893,家庭
111,it's,0.704352537475167,它是
113,even,0.704352537475167,甚至
114,work,0.704352537475167,工作
115,your,0.704352537475167,你的
116,life,0.704352537475167,生活
117,support,0.6862922160014449,支持
118,government,0.6862922160014449,政府
119,get,0.6862922160014449,得到
120,far,0.6682318945277226,远
122,ms,0.6682318945277226,女士
123,together,0.6501715730540004,一起
124,go,0.6501715730540004,去
125,yorkshire,0.6501715730540004,约克郡
126,police,0.6501715730540004,警察
127,boris,0.6321112515802781,鲍里斯
128,polls,0.6321112515802781,民调
129,take,0.6321112515802781,采取
130,east,0.6321112515802781,东
131,well,0.6321112515802781,好
132,decision,0.6321112515802781,决定
133,corbyn,0.6140509301065559,科尔宾
134,added,0.6140509301065559,增加
135,world,0.6140509301065559,世界
136,old,0.6140509301065559,旧
137,scotland,0.6140509301065559,苏格兰
138,believe,0.5959906086328337,相信
139,johnson,0.5959906086328337,约翰逊
140,ukip,0.5959906086328337,英国独立党
141,however,0.5959906086328337,但是
142,months,0.5959906086328337,月份
143,want,0.5779302871591114,想要
144,put,0.5779302871591114,放
145,rights,0.5779302871591114,权利
146,both,0.5779302871591114,两者都
147,secretary,0.5779302871591114,秘书
148,ireland,0.5779302871591114,爱尔兰
149,death,0.5779302871591114,死亡
150,called,0.5598699656853893,叫作
151,votes,0.5598699656853893,投票
152,much,0.5598699656853893,很多
154,economic,0.541809644211667,经济
156,taken,0.541809644211667,带走
158,home,0.541809644211667,家
159,united,0.541809644211667,联合
160,case,0.541809644211667,案例
161,future,0.541809644211667,未来
162,leadership,0.5237493227379447,领导力
163,things,0.5237493227379447,事物
165,part,0.5237493227379447,部分
166,national,0.5237493227379447,全国性的
168,next,0.5056890012642224,下一个
169,north,0.5056890012642224,北
170,left,0.5056890012642224,左
171,must,0.5056890012642224,必须
172,group,0.5056890012642224,组
173,night,0.5056890012642224,夜晚
174,member,0.5056890012642224,成员
175,still,0.5056890012642224,仍
177,today,0.5056890012642224,今天
178,every,0.5056890012642224,每个
179,feel,0.48762867979050023,觉得
180,clear,0.48762867979050023,清晰
181,saying,0.48762867979050023,格言
182,independence,0.48762867979050023,独立
183,week,0.48762867979050023,星期
184,live,0.48762867979050023,直播
185,space,0.48762867979050023,空间
186,general,0.46956835831677807,一般
187,side,0.46956835831677807,侧面
188,ahead,0.46956835831677807,向前
192,never,0.45150803684305585,从不
193,favour,0.45150803684305585,帮助
194,high,0.45150803684305585,高
195,too,0.45150803684305585,也
196,long,0.45150803684305585,长
197,pound,0.45150803684305585,英镑
198,million,0.45150803684305585,百万
199,man,0.45150803684305585,人
201,become,0.4334477153693336,成为
202,economy,0.4334477153693336,经济
203,results,0.4334477153693336,结果
204,victory,0.4334477153693336,胜利
205,hours,0.4334477153693336,小时
206,west,0.4334477153693336,西
207,final,0.4334477153693336,最终
208,following,0.4334477153693336,以下
209,england,0.41538739389561136,英格兰
210,might,0.41538739389561136,也许
211,know,0.41538739389561136,知道
212,another,0.41538739389561136,另一个
213,murder,0.41538739389561136,谋杀
214,delivered,0.41538739389561136,已投递
215,already,0.39732707242188914,已经
216,areas,0.39732707242188914,区域
217,majority,0.39732707242188914,主要
218,market,0.39732707242188914,市场
219,same,0.39732707242188914,相同
220,best,0.39732707242188914,最好
221,ever,0.39732707242188914,曾经
222,foreign,0.39732707242188914,外国
223,debate,0.39732707242188914,辩论
224,history,0.39732707242188914,历史
226,manchester,0.39732707242188914,曼彻斯特
227,social,0.39732707242188914,社会
228,stay,0.39732707242188914,保持
