"word","fre","media","freevalue"
"we","7.216004649537942","express","0"
"people","3.2491833014872276","express","0"
"country","2.13970607658915","express","0"
"control","0.8805374800778395","express","0"
"free","0.6515977352576013","express","45.882"
"we","7.013439812675376","sun","0"
"people","3.6478849885499436","sun","0"
"country","2.0345697601986172","sun","0"
"control","0.6587703849101249","sun","0"
"free","0.5825860546824234","sun","40.260"
"we","6.5630826686459763","dailystar","0"
"people","3.4058421379738966","dailystar","0"
"country","1.7899316345556247","dailystar","0"
"control","0.6215040397762585","dailystar","0"
"free","0.5220633934120572","dailystar","45.455"
"we","5.534030896796802","dailymail","0"
"people","3.192710132767386","dailymail","0"
"country","1.7336261783722422","dailymail","0"
"control","0.6292877942845863","dailymail","0"
"free","0.4442031489067667","dailymail","39.881"
"we","5.002709048475395","inews","0"
"people","2.582625970742279","inews","0"
"country","1.4990066823189452","inews","0"
"control","0","inews","0"
"free","0.288965143579","inews","11.765"
"we","4.90727426907053","guardian","0"
"people","3.115437082918556","guardian","0"
"country","1.415772591527486","guardian","0"
"control","0","guardian","0"
"free","0.45348965822364784","guardian","22.794"
"we","2.86924376396573725","ft","0"
"people","1.530100129752491","ft","0"
"country","0.9596788013807623","ft","0"
"control","0","ft","0"
"free","0.369672191348","ft","16.038"
"we","1.7546112038344674","economist","0"
"people","1.5406342277570932","economist","0"
"country","1.198271066033295","economist","0"
"control","0","economist","0"
"free","0.8559079043094963","economist","20.000"
