word,probability,group,category,kind,meaning
serbia,0.934845,leave,EP,移民,塞尔维亚
albania,0.926223,leave,EP,移民,阿尔巴尼亚
turkeys,0.920997,leave,EP,移民,土耳其
turkish,0.920997,leave,EP,移民,土耳其人
montenegro,0.914973,leave,EP,移民,黑山
deport,0.907955,leave,EP,移民,驱逐出境
asylum,0.899673,leave,EP,移民,难民
unskilled,0.899673,leave,EP,移民,非熟练工
visafree,0.899673,leave,EP,移民,免签
accession,0.885998,leave,EP,移民,入欧
population,0.851118,leave,EP,移民,人口
poles,0.831426,leave,EP,移民,波兰人
macedonia,0.817642,leave,EP,移民,马其顿
illegal,0.817642,leave,EP,移民,非法移民
greece,0.793525,leave,EP,移民,希腊
schools,0.945907,leave,EC,移民,学校
vacuum,0.766795,leave,EC,法规,吸尘器
mum,0.907955,leave,EC,法规,妈妈
perks,0.903992,leave,EC,法规,津贴
bananas,0.899673,leave,EC,法规,香蕉
retired,0.899673,leave,EC,法规,退休
kent,0.889755,leave,EC,移民,凋敝地名
bulbs,0.889755,leave,EC,法规,灯泡
billingsgate,0.889755,leave,EC,财政,海鲜市场
earn,0.889755,leave,EC,财政,赚钱
son,0.884022,leave,EC,法规,儿子
champagne,0.87766,leave,EC,法规,香槟
dinner,0.87766,leave,EC,法规,晚饭
fish,0.843272,leave,EC,财政,渔业
gp,0.817642,leave,EC,移民,医生
jobless,0.817642,leave,EC,移民,失业
taxpayers,0.817642,leave,EC,财政,纳税人
billion,0.87056,leave,EC,财政,十亿
vat,0.862585,leave,EC,财政,增值税
tariffs,0.79215,leave,EC,财政,关税
lying,0.903992,leave,PC,政治,撒谎
colluding,0.889755,leave,PC,政治,勾结
unreformed,0.889755,leave,PC,政治,腐朽
undemocratic,0.881976,leave,PC,政治,不民主
disgusting,0.87766,leave,PC,政治,恶心
shackles,0.87766,leave,PC,政治,枷锁
slammed,0.87766,leave,PC,政治,抨击
credibility,0.862585,leave,PC,政治,可信性
dishonesty,0.862585,leave,PC,政治,不诚实
freed,0.862585,leave,PC,政治,解放
freely,0.801404,leave,PC,政治,自由
restrictions,0.862585,leave,PC,政治,限制
lied,0.862585,leave,PC,政治,说谎
overrule,0.862585,leave,PC,政治,统治
powerless,0.862585,leave,PC,政治,无力
questioned,0.862585,leave,PC,政治,可疑
ridiculous,0.862585,leave,PC,政治,可笑
calling,0.843272,leave,PC,政治,号召
unaccountable,0.843272,leave,PC,政治,不负责任
controversial,0.831426,leave,PC,政治,争议
entire,0.817642,leave,PC,政治,完全
failing,0.807129,leave,PC,政治,失败
blasted,0.801404,leave,PC,政治,炮轰
scare,0.801404,leave,PC,政治,惊吓
severe,0.801404,leave,PC,政治,严重
furious,0.795329,leave,PC,政治,狂怒
commonwealth,0.945907,leave,PC,政治,英联邦
